,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
451,"Well, thanks, Jamie.",well thank jamie,"[well, thank, jamie]",well thank jamie,"['well', 'jamie']",1
452,That's incredible.,incredible,[incredible],incredible,['incredible'],0
453,We need to look into that more.,need look,"[need, look]",need look,"['need', 'look']",6
454,That's really impressive.,really impressive,"[really, impressive]",really impressive,['impressive'],0
455,So good to hear a voice.,good hear voice,"[good, hear, voice]",good hear voice,"['good', 'hear', 'voice']",8
457,"Back to you, Carla.",back carla,"[back, carla]",back carla,"['back', 'carla']",0
458,"Thanks, Joanna.",thanks joanna,"[thanks, joanna]",thanks joanna,"['thanks', 'joanna']",2
459,"I wanted to, um, ask Dan Saltman again to unmute himself again.",want um ask dan saltman unmute,"[want, um, ask, dan, saltman, unmute]",want um ask dan saltman unmute,"['want', 'ask', 'dan', 'saltman', 'unmute']",1
460,He have a couple of questions that didn't make it onto his preregistration questions.,couple question make onto preregistration question,"[couple, question, make, onto, preregistration, question]",couple question make onto preregistration question,"['couple', 'question', 'make', 'onto', 'preregistration', 'question']",8
461,Dan do you want to unmute yourself?,dan want unmute,"[dan, want, unmute]",dan want unmute,"['dan', 'want', 'unmute']",1
464,"Uh, so one of them was a kind of more narrow question.",uh one kind narrow question,"[uh, one, kind, narrow, question]",uh one kind narrow question,"['kind', 'narrow', 'question']",6
465,"That was about the, uh it's about the presidential treatment.",uh presidential treatment,"[uh, presidential, treatment]",uh presidential treatment,"['presidential', 'treatment']",0
466,"Um, you got Would you expect it that when you when somebody receives monoclonal antibodies, is a treatment for COVID That that would, uh, confer any long term immunity, uh, and stimulate the t's cellular immunity and long term immunity.",um get would expect somebody receive monoclonal antibody treatment covid would uh confer long term immunity uh stimulate ts cellular immunity long term immunity,"[um, get, would, expect, somebody, receive, monoclonal, antibody, treatment, covid, would, uh, confer, long, term, immunity, uh, stimulate, ts, cellular, immunity, long, term, immunity]",um get would expect somebody receive monoclonal antibody treatment covid would uh confer long term immunity uh stimulate ts cellular immunity long term immunity,"['get', 'would', 'expect', 'somebody', 'receive', 'monoclonal', 'antibody', 'treatment', 'covid', 'would', 'confer', 'long', 'term', 'immunity', 'stimulate', 'ts', 'cellular', 'immunity', 'long', 'term', 'immunity']",4
467,So that was one part of that question.,one part question,"[one, part, question]",one part question,"['part', 'question']",6
468,"And the second part was, um just any comments on, uh, how one would judge the president's infectivity as in regards to COVID this is.",second part um comment uh one would judge president infectivity regard covid,"[second, part, um, comment, uh, one, would, judge, president, infectivity, regard, covid]",second part um comment uh one would judge president infectivity regard covid,"['second', 'part', 'comment', 'would', 'judge', 'president', 'infectivity', 'regard', 'covid']",6
469,I want to take it.,want take,"[want, take]",want take,"['want', 'take']",11
470,"Okay, so the first yeah the monoclonals I have read and this is mostly press release and and other comments or a couple of basic science papers with the monoclonal.",okay first yeah monoclonal read mostly press release comment couple basic science paper monoclonal,"[okay, first, yeah, monoclonal, read, mostly, press, release, comment, couple, basic, science, paper, monoclonal]",okay first yeah monoclonal read mostly press release comment couple basic science paper monoclonal,"['first', 'monoclonal', 'read', 'mostly', 'press', 'release', 'comment', 'couple', 'basic', 'science', 'paper', 'monoclonal']",8
471,The half life of the monoclonal is a few weeks.,half life monoclonal week,"[half, life, monoclonal, week]",half life monoclonal week,"['half', 'life', 'monoclonal', 'week']",11
472,"So, yes, once you get an injection of monoclonal antibodies, it will circulate for for some time.",yes get injection monoclonal antibody circulate time,"[yes, get, injection, monoclonal, antibody, circulate, time]",yes get injection monoclonal antibody circulate time,"['get', 'injection', 'monoclonal', 'antibody', 'circulate', 'time']",3
473,So So it's going to confer some at least neutralizing antibodies or antibodies against the spike protein/,go confer least neutralizing antibody antibody spike protein,"[go, confer, least, neutralizing, antibody, antibody, spike, protein]",go confer least neutralizing antibody antibody spike protein,"['confer', 'least', 'neutralizing', 'antibody', 'antibody', 'spike', 'protein']",5
474,Monoclonals are directed against the spike protein for sometime they don't go away in a couple of days.,monoclonal direct spike protein sometime go away couple day,"[monoclonal, direct, spike, protein, sometime, go, away, couple, day]",monoclonal direct spike protein sometime go away couple day,"['monoclonal', 'direct', 'spike', 'protein', 'sometime', 'away', 'couple', 'day']",8
475,Like like regular drug they actually linger for for a while.,like like regular drug actually linger,"[like, like, regular, drug, actually, linger]",like like regular drug actually linger,"['regular', 'drug', 'linger']",1
476,"In one of the papers that I read, I remember, you know, see, in four weeks or one month of half life, So you you have some some protection.",one paper read remember know see four week one month half life protection,"[one, paper, read, remember, know, see, four, week, one, month, half, life, protection]",one paper read remember know see four week one month half life protection,"['paper', 'read', 'remember', 'four', 'week', 'month', 'half', 'life', 'protection']",11
477,"I don't know what's gonna happen to the immune respond, to the his own immune response If you If you blunt the with monoclonal antibodies, I, um I don't know.",know go happen immune respond immune response blunt monoclonal antibody um know,"[know, go, happen, immune, respond, immune, response, blunt, monoclonal, antibody, um, know]",know go happen immune respond immune response blunt monoclonal antibody um know,"['happen', 'immune', 'respond', 'immune', 'response', 'blunt', 'monoclonal', 'antibody']",3
478,I have to wait and see the large phase three trials with monoclonal and how the immune response We still produce antibodies to the virus or or this is some somehow blunted and also see the cell immunity.,wait see large phase three trial monoclonal immune response still produce antibody virus somehow blunt also see cell immunity,"[wait, see, large, phase, three, trial, monoclonal, immune, response, still, produce, antibody, virus, somehow, blunt, also, see, cell, immunity]",wait see large phase three trial monoclonal immune response still produce antibody virus somehow blunt also see cell immunity,"['wait', 'large', 'phase', 'three', 'trial', 'monoclonal', 'immune', 'response', 'still', 'produce', 'antibody', 'virus', 'somehow', 'blunt', 'cell', 'immunity']",3
479,It is going to be blunted by thi passive immunity.,go blunt thi passive immunity,"[go, blunt, thi, passive, immunity]",go blunt thi passive immunity,"['blunt', 'thi', 'passive', 'immunity']",3
480,"But I don't know, I I would just be speculating.",know would speculate,"[know, would, speculate]",know would speculate,"['would', 'speculate']",4
481,And regarding the second question was about the treatment of the president? ,regard second question treatment president,"[regard, second, question, treatment, president]",regard second question treatment president,"['regard', 'second', 'question', 'treatment', 'president']",8
482,"About his ah, assessing the infectivity after he got that really potent kind of treatment.",ah assess infectivity get really potent kind treatment,"[ah, assess, infectivity, get, really, potent, kind, treatment]",ah assess infectivity get really potent kind treatment,"['assess', 'infectivity', 'get', 'potent', 'kind', 'treatment']",0
483,"So that so that he he may not have mounted much of, ah, cellular immunity response at all.",may mount much ah cellular immunity response,"[may, mount, much, ah, cellular, immunity, response]",may mount much ah cellular immunity response,"['may', 'mount', 'cellular', 'immunity', 'response']",3
484,"That was one for one side of that because because he had an antiviral, got antibodies and it got steroids.",one one side antiviral get antibody get steroid,"[one, one, side, antiviral, get, antibody, get, steroid]",one one side antiviral get antibody get steroid,"['side', 'antiviral', 'get', 'antibody', 'get', 'steroid']",1
485,So it blunted his own his own native response as well.,blunt native response well,"[blunt, native, response, well]",blunt native response well,"['blunt', 'native', 'response', 'well']",3
486,"And that so then the follow up on that was, how would you, um, you know, in light of that kind of treatment, how would you assess his infectivity?",follow would um know light kind treatment would assess infectivity,"[follow, would, um, know, light, kind, treatment, would, assess, infectivity]",follow would um know light kind treatment would assess infectivity,"['follow', 'would', 'light', 'kind', 'treatment', 'would', 'assess', 'infectivity']",0
487,"His You know, his his ability to pass on the virus, right?",know ability pass virus right,"[know, ability, pass, virus, right]",know ability pass virus right,"['ability', 'pass', 'virus', 'right']",2
490,"So I mean, we don't know for sure, but the best test will be to try to find virus that is culturable or viable in his respiratory secretions.",mean know sure good test try find virus culturable viable respiratory secretion,"[mean, know, sure, good, test, try, find, virus, culturable, viable, respiratory, secretion]",mean know sure good test try find virus culturable viable respiratory secretion,"['mean', 'sure', 'good', 'test', 'try', 'find', 'virus', 'culturable', 'viable', 'respiratory', 'secretion']",9
491,So that would be the ideal situation.,would ideal situation,"[would, ideal, situation]",would ideal situation,"['would', 'ideal', 'situation']",10
492,That's not something easy to do.,something easy,"[something, easy]",something easy,"['something', 'easy']",1
493,"But you would have to do Oh, not just a PCR Because the PCR, as we have said many times in these form, um, it's it's could be positive, uh, for for some weeks.",would oh pcr pcr say many time form um could positive uh week,"[would, oh, pcr, pcr, say, many, time, form, um, could, positive, uh, week]",would oh pcr pcr say many time form um could positive uh week,"['would', 'pcr', 'pcr', 'many', 'time', 'form', 'could', 'positive', 'week']",4
494,So you you would have to really do some sensitive.,would really sensitive,"[would, really, sensitive]",would really sensitive,"['would', 'sensitive']",4
495,They're they're two ways to do that.,two way,"[two, way]",two way,"['two', 'way']",10
496,"One is to measure subgenomic RNA, which is sort of not just a regular RNA, but something that that indicates that there's active virus replication.",one measure subgenomic rna sort regular rna something indicate active virus replication,"[one, measure, subgenomic, rna, sort, regular, rna, something, indicate, active, virus, replication]",one measure subgenomic rna sort regular rna something indicate active virus replication,"['measure', 'subgenomic', 'rna', 'regular', 'rna', 'something', 'indicate', 'active', 'virus', 'replication']",3
497,And the other thing is to try to culture the virus.,thing try culture virus,"[thing, try, culture, virus]",thing try culture virus,"['try', 'culture', 'virus']",3
498,"If you're not able to do that or you don't find, um subgenomic RNA you, you can safely assume that he's not infectious.",able find um subgenomic rna safely assume infectious,"[able, find, um, subgenomic, rna, safely, assume, infectious]",able find um subgenomic rna safely assume infectious,"['able', 'find', 'subgenomic', 'rna', 'safely', 'assume', 'infectious']",0
499,"If we go just by the rules of the of CDC after 10 days of his initial diagnosis, granted that he's afebrile, you have to assume that he's not excreting virus.",go rule cdc day initial diagnosis grant afebrile assume excrete virus,"[go, rule, cdc, day, initial, diagnosis, grant, afebrile, assume, excrete, virus]",go rule cdc day initial diagnosis grant afebrile assume excrete virus,"['rule', 'cdc', 'day', 'initial', 'diagnosis', 'grant', 'afebrile', 'assume', 'excrete', 'virus']",11
500,But the only way to be sure is by doing that.,way sure,"[way, sure]",way sure,"['way', 'sure']",9
501,"And there are a couple of, yeah, issues that as you alluded, number one is dexamethasone.",couple yeah issue allude number one dexamethasone,"[couple, yeah, issue, allude, number, one, dexamethasone]",couple yeah issue allude number one dexamethasone,"['couple', 'issue', 'allude', 'number', 'dexamethasone']",6
502,Dexamethasone or corticosteroids in general tend to prolong viral sheddings.,dexamethasone corticosteroid general tend prolong viral shedding,"[dexamethasone, corticosteroid, general, tend, prolong, viral, shedding]",dexamethasone corticosteroid general tend prolong viral shedding,"['dexamethasone', 'corticosteroid', 'general', 'tend', 'prolong', 'viral', 'shedding']",6
503,"So that's that's something against the president that in theory, because he got the dexamethasone, he may not be able to, um, to have a, you know, reduction of the of the viral shedding that soon.",something president theory get dexamethasone may able um know reduction viral shedding soon,"[something, president, theory, get, dexamethasone, may, able, um, know, reduction, viral, shedding, soon]",something president theory get dexamethasone may able um know reduction viral shedding soon,"['something', 'president', 'theory', 'get', 'dexamethasone', 'may', 'able', 'reduction', 'viral', 'shedding', 'soon']",7
504,The second?,second,[second],second,['second'],0
506,Epidemiological.,epidemiological,[epidemiological],epidemiological,['epidemiological'],9
507,"I mentioned these that if a patient has severe COVID, they would have longer viral shedding.",mention patient severe covid would long viral shedding,"[mention, patient, severe, covid, would, long, viral, shedding]",mention patient severe covid would long viral shedding,"['mention', 'patient', 'severe', 'covid', 'would', 'long', 'viral', 'shedding']",9
508,"So if he really has severe COVID on and was hospitalized or he was on, we assume that it is similar to the regular population that is hospitalized with severe COVID.",really severe covid hospitalize assume similar regular population hospitalize severe covid,"[really, severe, covid, hospitalize, assume, similar, regular, population, hospitalize, severe, covid]",really severe covid hospitalize assume similar regular population hospitalize severe covid,"['severe', 'covid', 'hospitalize', 'assume', 'similar', 'regular', 'population', 'hospitalize', 'severe', 'covid']",2
509,"He may have a more prolonged shedding, and in fact, in that situation, the CDC talks about 20 days a supposed to 10 days that you have to consider the person infectious just for the sake of greater safety.",may prolonged shedding fact situation cdc talk day suppose day consider person infectious sake great safety,"[may, prolonged, shedding, fact, situation, cdc, talk, day, suppose, day, consider, person, infectious, sake, great, safety]",may prolonged shedding fact situation cdc talk day suppose day consider person infectious sake great safety,"['may', 'prolonged', 'shedding', 'fact', 'situation', 'cdc', 'talk', 'day', 'suppose', 'day', 'consider', 'person', 'infectious', 'sake', 'great', 'safety']",11
510,"So So you know, it's hard to tell in reality.",know hard tell reality,"[know, hard, tell, reality]",know hard tell reality,"['hard', 'tell', 'reality']",3
511,"But if they did subgenomic RNA or the PCR was negative and viral culture, and it's negative you can you can safely assume that's probably not not infectious on top of that he received the monoclonal.",subgenomic rna pcr negative viral culture negative safely assume probably infectious top receive monoclonal,"[subgenomic, rna, pcr, negative, viral, culture, negative, safely, assume, probably, infectious, top, receive, monoclonal]",subgenomic rna pcr negative viral culture negative safely assume probably infectious top receive monoclonal,"['subgenomic', 'rna', 'pcr', 'negative', 'viral', 'culture', 'negative', 'safely', 'assume', 'probably', 'infectious', 'top', 'receive', 'monoclonal']",3
512,We should protect him from from having a lot of viral replication.,protect lot viral replication,"[protect, lot, viral, replication]",protect lot viral replication,"['protect', 'viral', 'replication']",4
513,Uh huh.,uh huh,"[uh, huh]",uh huh,['huh'],7
516,I'm measuring that should go to maybe Marla.,measure go maybe marla,"[measure, go, maybe, marla]",measure go maybe marla,"['measure', 'maybe', 'marla']",4
517,"There a couple of questions about whether it makes sense anymore to take the temperature of everybody who's going into a clinic or a restaurant or whether that's been shown to actually prevent, um, infection.",couple question whether make sense anymore take temperature everybody go clinic restaurant whether show actually prevent um infection,"[couple, question, whether, make, sense, anymore, take, temperature, everybody, go, clinic, restaurant, whether, show, actually, prevent, um, infection]",couple question whether make sense anymore take temperature everybody go clinic restaurant whether show actually prevent um infection,"['couple', 'question', 'whether', 'make', 'sense', 'anymore', 'take', 'temperature', 'everybody', 'clinic', 'restaurant', 'whether', 'show', 'prevent', 'infection']",6
518,And I think is the question.,think question,"[think, question]",think question,['question'],6
519,"I don't know, Marla, for a public health standpoint.",know marla public health standpoint,"[know, marla, public, health, standpoint]",know marla public health standpoint,"['marla', 'public', 'health', 'standpoint']",3
520,"If you if you think that that is something that should continue Yeah, I think it's similar to, um to what I said earlier about your trying to sort of layer on some protections.",think something continue yeah think similar um say early try sort layer protection,"[think, something, continue, yeah, think, similar, um, say, early, try, sort, layer, protection]",think something continue yeah think similar um say early try sort layer protection,"['something', 'continue', 'similar', 'early', 'try', 'layer', 'protection']",0
521,Many people who are infected don't ever develop a fever.,many people infect ever develop fever,"[many, people, infect, ever, develop, fever]",many people infect ever develop fever,"['many', 'people', 'infect', 'ever', 'develop', 'fever']",0
522,I've seen some numbers that say more than 50% of people never develop a fever.,see number say people never develop fever,"[see, number, say, people, never, develop, fever]",see number say people never develop fever,"['number', 'people', 'never', 'develop', 'fever']",6
523,"Um, especially if they're in that early symptomatic or pre-symptomatic phase.",um especially early symptomatic pre symptomatic phase,"[um, especially, early, symptomatic, pre, symptomatic, phase]",um especially early symptomatic pre symptomatic phase,"['especially', 'early', 'symptomatic', 'pre', 'symptomatic', 'phase']",0
524,They're not gonna have a fever.,go fever,"[go, fever]",go fever,['fever'],6
525,"Um, so you're not going to catch everybody by taking their temperature, But you might catch a couple of people.",um go catch everybody take temperature may catch couple people,"[um, go, catch, everybody, take, temperature, may, catch, couple, people]",um go catch everybody take temperature may catch couple people,"['catch', 'everybody', 'take', 'temperature', 'may', 'catch', 'couple', 'people']",7
526,"Um, so I think you're really trying to, You know, through the questions about exposure and symptoms and taking a temperature again, trying to sort of catch as many people as you can before they enter the space.",um think really try know question exposure symptom take temperature try sort catch many people enter space,"[um, think, really, try, know, question, exposure, symptom, take, temperature, try, sort, catch, many, people, enter, space]",um think really try know question exposure symptom take temperature try sort catch many people enter space,"['try', 'question', 'exposure', 'symptom', 'take', 'temperature', 'try', 'catch', 'many', 'people', 'enter', 'space']",7
527,"Um, probably just temperature checks alone are not gonna be very effective.",um probably temperature check alone go effective,"[um, probably, temperature, check, alone, go, effective]",um probably temperature check alone go effective,"['probably', 'temperature', 'check', 'alone', 'effective']",7
528,"Um, you really need to be asking the questions about symptoms and known exposures to confirm cases.",um really need ask question symptom known exposure confirm case,"[um, really, need, ask, question, symptom, known, exposure, confirm, case]",um really need ask question symptom known exposure confirm case,"['need', 'ask', 'question', 'symptom', 'known', 'exposure', 'confirm', 'case']",6
529,I think there's also a behavioral thing.,think also behavioral thing,"[think, also, behavioral, thing]",think also behavioral thing,['behavioral'],7
530,"I mean, when you would you see somebody taking your temperature and asking you questions make you think twice about your symptoms.",mean would see somebody take temperature ask question make think twice symptom,"[mean, would, see, somebody, take, temperature, ask, question, make, think, twice, symptom]",mean would see somebody take temperature ask question make think twice symptom,"['mean', 'would', 'somebody', 'take', 'temperature', 'ask', 'question', 'make', 'twice', 'symptom']",4
532,"If you have nothing, you go into a building, you know, like free.",nothing go building know like free,"[nothing, go, building, know, like, free]",nothing go building know like free,"['nothing', 'building', 'free']",6
534,"I mean, in some of the cases that we have investigated, people have been symptomatic and they go to work.",mean case investigate people symptomatic go work,"[mean, case, investigate, people, symptomatic, go, work]",mean case investigate people symptomatic go work,"['mean', 'case', 'investigate', 'people', 'symptomatic', 'work']",6
535,"And, you know, if if you don't stop it and ask if they're like Yeah, well, now that you ask me, yeah, you have a little bit of, you know, aches and pains.",know stop ask like yeah well ask yeah little bit know ache pain,"[know, stop, ask, like, yeah, well, ask, yeah, little, bit, know, ache, pain]",know stop ask like yeah well ask yeah little bit know ache pain,"['stop', 'ask', 'well', 'ask', 'little', 'bit', 'ache', 'pain']",1
536,"And I had a fever last night, but not not today.",fever last night today,"[fever, last, night, today]",fever last night today,"['fever', 'last', 'night', 'today']",6
537,So that's a type of situation that we face in reality with this patient.,type situation face reality patient,"[type, situation, face, reality, patient]",type situation face reality patient,"['type', 'situation', 'face', 'reality', 'patient']",10
538,"That then later, later are are detected with COVID, so I think it's important.",later later detect covid think important,"[later, later, detect, covid, think, important]",later later detect covid think important,"['later', 'later', 'detect', 'covid', 'important']",9
539,"It's a It's a behavioral thing that puts a stop on the door and make people think about their symptoms and remind them that we are in the midst of, a pandemic.",behavioral thing put stop door make people think symptom remind midst pandemic,"[behavioral, thing, put, stop, door, make, people, think, symptom, remind, midst, pandemic]",behavioral thing put stop door make people think symptom remind midst pandemic,"['behavioral', 'put', 'stop', 'door', 'make', 'people', 'symptom', 'remind', 'midst', 'pandemic']",7
540,This is Leslie I just want to get the other question.,leslie want get question,"[leslie, want, get, question]",leslie want get question,"['leslie', 'want', 'get', 'question']",1
541,I would love to see people start asking that I don't think people are asking is have you been tested for COVID in the last few days?,would love see people start ask think people ask test covid last day,"[would, love, see, people, start, ask, think, people, ask, test, covid, last, day]",would love see people start ask think people ask test covid last day,"['would', 'love', 'people', 'start', 'ask', 'people', 'ask', 'test', 'covid', 'last', 'day']",4
542,"Cause the last month I've had, like, five people call me and say I need a COVID test because I just met with someone and they came in and said they were fine.",cause last month like five people call say need covid test meet someone come say fine,"[cause, last, month, like, five, people, call, say, need, covid, test, meet, someone, come, say, fine]",cause last month like five people call say need covid test meet someone come say fine,"['cause', 'last', 'month', 'five', 'people', 'call', 'need', 'covid', 'test', 'meet', 'someone', 'come', 'fine']",4
543,And then we found up that had a COVID test yesterday that came back positive today.,find covid test yesterday come back positive today,"[find, covid, test, yesterday, come, back, positive, today]",find covid test yesterday come back positive today,"['find', 'covid', 'test', 'yesterday', 'come', 'back', 'positive', 'today']",1
544,So I think asking Have you had a COVID test?,think ask covid test,"[think, ask, covid, test]",think ask covid test,"['ask', 'covid', 'test']",4
545,"Um, is something else to consider asking Is people come in the door?",um something else consider ask people come door,"[um, something, else, consider, ask, people, come, door]",um something else consider ask people come door,"['something', 'else', 'consider', 'ask', 'people', 'come', 'door']",1
546,"Thank you, Leslie.",thank leslie,"[thank, leslie]",thank leslie,['leslie'],1
547,That's think it was really helpful.,think really helpful,"[think, really, helpful]",think really helpful,['helpful'],10
548,I just wanted to remind for everybody that the CME link just went into the chat about 12 45 and I think she repeated it.,want remind everybody cme link go chat think repeat,"[want, remind, everybody, cme, link, go, chat, think, repeat]",want remind everybody cme link go chat think repeat,"['want', 'remind', 'everybody', 'cme', 'link', 'chat', 'repeat']",7
549,So please fill that out if you would like CME and you have any feedback for us.,please fill would like cme feedback us,"[please, fill, would, like, cme, feedback, us]",please fill would like cme feedback us,"['please', 'fill', 'would', 'cme', 'feedback', 'us']",7
550,"Um, and also the slide sets from both Nestor and Leslie slides went into the chat as well.",um also slide set nestor leslie slide go chat well,"[um, also, slide, set, nestor, leslie, slide, go, chat, well]",um also slide set nestor leslie slide go chat well,"['slide', 'set', 'nestor', 'leslie', 'slide', 'chat', 'well']",2
551,So you can have a link to the pdf of those slides?,link pdf slide,"[link, pdf, slide]",link pdf slide,"['link', 'pdf', 'slide']",2
552,I'm not sure I don't assure you answered this.,sure assure answer,"[sure, assure, answer]",sure assure answer,"['sure', 'assure', 'answer']",9
553,"Um Nestor, But Leslie Hayes was asking Are you going to be more or less likely to develop your own antibodies if you get monocle antibody as a treatment?",um nestor leslie hayes ask go less likely develop antibody get monocle antibody treatment,"[um, nestor, leslie, hayes, ask, go, less, likely, develop, antibody, get, monocle, antibody, treatment]",um nestor leslie hayes ask go less likely develop antibody get monocle antibody treatment,"['nestor', 'leslie', 'hayes', 'ask', 'less', 'likely', 'develop', 'antibody', 'get', 'monocle', 'antibody', 'treatment']",1
554,"Well, I don't know.",well know,"[well, know]",well know,['well'],1
555,I don't know for sure.,know sure,"[know, sure]",know sure,['sure'],9
556,"I mean, in theory could be less if if you actually let's let's assume you blunt the infection completely.",mean theory could less actually let us let us assume blunt infection completely,"[mean, theory, could, less, actually, let, us, let, us, assume, blunt, infection, completely]",mean theory could less actually let us let us assume blunt infection completely,"['mean', 'theory', 'could', 'less', 'let', 'us', 'let', 'us', 'assume', 'blunt', 'infection', 'completely']",5
557,"With the monoclonal really successful, you may not know matter.",monoclonal really successful may know matter,"[monoclonal, really, successful, may, know, matter]",monoclonal really successful may know matter,"['monoclonal', 'successful', 'may', 'matter']",3
558,"Induce a natural immune response If if if if the monoclonal In reality, I don't think it's that, you know, 100%.",induce natural immune response monoclonal reality think know,"[induce, natural, immune, response, monoclonal, reality, think, know]",induce natural immune response monoclonal reality think know,"['induce', 'natural', 'immune', 'response', 'monoclonal', 'reality']",3
559,"You always have virus and you will have to give it really early, You know that.",always virus give really early know,"[always, virus, give, really, early, know]",always virus give really early know,"['always', 'virus', 'give', 'early']",1
560,"But yeah, in theory it should hamper the immune response.",yeah theory hamper immune response,"[yeah, theory, hamper, immune, response]",yeah theory hamper immune response,"['theory', 'hamper', 'immune', 'response']",3
561,"But I haven't seen any hard data, so we have to We have to really wait.",see hard datum really wait,"[see, hard, datum, really, wait]",see hard datum really wait,"['hard', 'datum', 'wait']",3
562,But it would.,would,[would],would,['would'],4
563,"And the other thing that you can give you a false positive, IgG.",thing give false positive igg,"[thing, give, false, positive, igg]",thing give false positive igg,"['give', 'false', 'positive', 'igg']",10
564,"So if you measure IgG, you're measuring Maybe the levels of antibodies against the the protein.",measure igg measure maybe level antibody protein,"[measure, igg, measure, maybe, level, antibody, protein]",measure igg measure maybe level antibody protein,"['measure', 'igg', 'measure', 'maybe', 'level', 'antibody', 'protein']",2
565,"I mean the spike protein, So that's another thing.",mean spike protein another thing,"[mean, spike, protein, another, thing]",mean spike protein another thing,"['mean', 'spike', 'protein', 'another']",2
566,So So I think we need to study and see what type of immune reaction the patient that I've given monoclonal are the same as those are given vaccine.,think need study see type immune reaction patient give monoclonal give vaccine,"[think, need, study, see, type, immune, reaction, patient, give, monoclonal, give, vaccine]",think need study see type immune reaction patient give monoclonal give vaccine,"['need', 'study', 'type', 'immune', 'reaction', 'patient', 'give', 'monoclonal', 'give', 'vaccine']",10
567,What type of immune reaction they haven't will have.,type immune reaction,"[type, immune, reaction]",type immune reaction,"['type', 'immune', 'reaction']",5
568,"We will have that information because that's one of the things that they're looking in the phase 3 of Regeneron on and Eli Lilly and also AstraZeneca, which are the three most advanced monoclonal companies right now. ",information one thing look phase regeneron eli lilly also astrazeneca three advanced monoclonal company right,"[information, one, thing, look, phase, regeneron, eli, lilly, also, astrazeneca, three, advanced, monoclonal, company, right]",information one thing look phase regeneron eli lilly also astrazeneca three advanced monoclonal company right,"['information', 'look', 'phase', 'regeneron', 'eli', 'lilly', 'astrazeneca', 'three', 'advanced', 'monoclonal', 'company', 'right']",3
569,"Along those lines, Is there any recommendations When we do get a vaccine, if somebody has received a monoclonal antibody, Do you need to wait a couple months before giving the vaccine? ",along line recommendation get vaccine somebody receive monoclonal antibody need wait couple month give vaccine,"[along, line, recommendation, get, vaccine, somebody, receive, monoclonal, antibody, need, wait, couple, month, give, vaccine]",along line recommendation get vaccine somebody receive monoclonal antibody need wait couple month give vaccine,"['along', 'line', 'recommendation', 'get', 'vaccine', 'somebody', 'receive', 'monoclonal', 'antibody', 'need', 'wait', 'couple', 'month', 'give', 'vaccine']",8
570,"That I don't know, You don't like to Give them together because you make blonde that the effect of the vaccine also.",know like give together make blonde effect vaccine also,"[know, like, give, together, make, blonde, effect, vaccine, also]",know like give together make blonde effect vaccine also,"['give', 'together', 'make', 'blonde', 'effect', 'vaccine']",11
571,"But I haven't seen any data, but we used it with the other vaccines.",see datum use vaccine,"[see, datum, use, vaccine]",see datum use vaccine,"['datum', 'use', 'vaccine']",11
572,"You don't want to use immunoglobulin, you know very close to the vaccine if if you can, if you can avoid it, and especially if you're going to do it, both you And if it's intramuscular, you have to give it a different places so it doesn't neutralize it.",want use immunoglobulin know close vaccine avoid especially go intramuscular give different place neutralize,"[want, use, immunoglobulin, know, close, vaccine, avoid, especially, go, intramuscular, give, different, place, neutralize]",want use immunoglobulin know close vaccine avoid especially go intramuscular give different place neutralize,"['want', 'use', 'immunoglobulin', 'close', 'vaccine', 'avoid', 'especially', 'intramuscular', 'give', 'different', 'place', 'neutralize']",11
573,Thank you Nestor.,thank nestor,"[thank, nestor]",thank nestor,['nestor'],9
574,"Sorry, I'm in a lecture.",sorry lecture,"[sorry, lecture]",sorry lecture,"['sorry', 'lecture']",0
575,No problem.,problem,[problem],problem,['problem'],9
576,"Okay, um, there's one that this is a real hard push, but I'm just going to say it anyway, because we don't really Well, I don't think we know, But there's a question from Claudia Guzman.",okay um one real hard push go say anyway really well think know question claudia guzman,"[okay, um, one, real, hard, push, go, say, anyway, really, well, think, know, question, claudia, guzman]",okay um one real hard push go say anyway really well think know question claudia guzman,"['real', 'hard', 'push', 'anyway', 'well', 'question', 'claudia', 'guzman']",8
577,"COVID-19 is transmitted via fomite, droplet and airborne is that known, which is the number one way that people are getting it.",covid transmit via fomite droplet airborne know number one way people get,"[covid, transmit, via, fomite, droplet, airborne, know, number, one, way, people, get]",covid transmit via fomite droplet airborne know number one way people get,"['covid', 'transmit', 'via', 'fomite', 'droplet', 'airborne', 'number', 'way', 'people', 'get']",9
578,"Do we Do you know, do we know the answer to that question?",know know answer question,"[know, know, answer, question]",know know answer question,"['answer', 'question']",8
579,"Maybe Marla, you can also chime in.",maybe marla also chime,"[maybe, marla, also, chime]",maybe marla also chime,"['maybe', 'marla', 'chime']",1
580,"Yeah, the main way.",yeah main way,"[yeah, main, way]",yeah main way,"['main', 'way']",10
581,It's still thought to be the respiratory droplets.,still think respiratory droplet,"[still, think, respiratory, droplet]",still think respiratory droplet,"['still', 'respiratory', 'droplet']",7
582,"So person to person, um, you know, obviously there is an opportunity for fomite transmission, but we don't think that's the primary way that it's spread.",person person um know obviously opportunity fomite transmission think primary way spread,"[person, person, um, know, obviously, opportunity, fomite, transmission, think, primary, way, spread]",person person um know obviously opportunity fomite transmission think primary way spread,"['person', 'person', 'obviously', 'opportunity', 'fomite', 'transmission', 'primary', 'way', 'spread']",1
